Procedure_code,Procedure_description
0SHN35Z,"Insertion of External Fixation Device into Left Metatarsal-Phalangeal Joint, Percutaneous Approach"
0QSR0ZZ,"Reposition Left Toe Phalanx, Open Approach"
09Q3XZZ,"Repair Right External Auditory Canal, External Approach"
10Q03YE,"Repair Nervous System in Products of Conception with Other Device, Percutaneous Approach"
0SU90KZ,"Supplement Right Hip Joint with Nonautologous Tissue Substitute, Open Approach"
0FC24ZZ,"Extirpation of Matter from Left Lobe Liver, Percutaneous Endoscopic Approach"
0X6P0Z2,"Detachment at Left Index Finger, Mid, Open Approach"
06H53DZ,"Insertion of Intraluminal Device into Superior Mesenteric Vein, Percutaneous Approach"
0FV58DZ,"Restriction of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
317090,"Bypass Right Brachial Artery to Right Upper Arm Artery with Autologous Venous Tissue, Open Approach"
06VJ4DZ,"Restriction of Left Hypogastric Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
03734EZ,"Dilation of Right Subclavian Artery with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
08RG3JZ,"Replacement of Right Retinal Vessel with Synthetic Substitute, Percutaneous Approach"
025D4ZZ,"Destruction of Papillary Muscle, Percutaneous Endoscopic Approach"
0U9730Z,"Drainage of Bilateral Fallopian Tubes with Drainage Device, Percutaneous Approach"
3E0V3TZ,"Introduction of Destructive Agent into Bones, Percutaneous Approach"
0HPPX7Z,"Removal of Autologous Tissue Substitute from Skin, External Approach"
03C84ZZ,"Extirpation of Matter from Left Brachial Artery, Percutaneous Endoscopic Approach"
B50B0ZZ,Plain Radiography of Right Lower Extremity Veins using High Osmolar Contrast
